"division_id","year","metric_id","value","suppressed","n_included","n_suppressed","agg_method"
"2400330",2022,"behavior_susp_per_100",,TRUE,0,1,"mean"
"2400330",2022,"test_overall_perf_index",83,FALSE,1,0,"mean"
"2400330",2023,"behavior_susp_per_100",0.880281690140845,FALSE,1,0,"total_rate"
"2400330",2023,"demo_american_indian_pct",0.2,FALSE,1,0,"total_rate"
"2400330",2023,"demo_asian_pct",0.9,FALSE,1,0,"total_rate"
"2400330",2023,"demo_black_pct",3.3,FALSE,1,0,"total_rate"
"2400330",2023,"demo_hispanic_pct",20.1,FALSE,1,0,"total_rate"
"2400330",2023,"demo_two_plus_pct",7.2,FALSE,1,0,"total_rate"
"2400330",2023,"demo_white_pct",68.3,FALSE,1,0,"total_rate"
"2400330",2023,"test_overall_perf_index",76,FALSE,1,0,"total_rate"
"2400330",2024,"behavior_susp_per_100",0.342465753424658,FALSE,1,0,"total_rate"
"2400330",2024,"demo_american_indian_pct",0.2,FALSE,1,0,"total_rate"
"2400330",2024,"demo_asian_pct",1.4,FALSE,1,0,"total_rate"
"2400330",2024,"demo_black_pct",3.9,FALSE,1,0,"total_rate"
"2400330",2024,"demo_hispanic_pct",21.7,FALSE,1,0,"total_rate"
"2400330",2024,"demo_two_plus_pct",7,FALSE,1,0,"total_rate"
"2400330",2024,"demo_white_pct",65.8,FALSE,1,0,"total_rate"
"2400330",2024,"test_overall_perf_index",77,FALSE,1,0,"total_rate"
"5100060",2022,"behavior_susp_per_100",,TRUE,0,1,"mean"
"5100060",2022,"test_overall_perf_index",85.8636363636364,FALSE,1,0,"mean"
"5100060",2023,"behavior_susp_per_100",6.44650770204685,FALSE,1,0,"total_rate"
"5100060",2023,"demo_american_indian_pct",0.270307859655939,FALSE,1,0,"total_rate"
"5100060",2023,"demo_asian_pct",0.879327679578306,FALSE,1,0,"total_rate"
"5100060",2023,"demo_black_pct",36.3745951578008,FALSE,1,0,"total_rate"
"5100060",2023,"demo_hispanic_pct",25.1121817666943,FALSE,1,0,"total_rate"
"5100060",2023,"demo_native_hawaiian_pct",0.6,FALSE,1,0,"total_rate"
